abbr,ev08,ev12,fips,caps,reg4,reg9,reg10,proper,pop08,pop07,pop06,pop05,pop04,pop03,pop02,pop01,pop00,bush04,kerry04,obama08,mccain08,obama12,romney12,nixon72,now538,el_proj,predictwise,nyt,icpsr,trump16,clinton16,trump20,biden20,trump24,harris24,turnout00,turnout04,turnout08,turnout12,turnout16,turnout20,proj_2024_538_margin,turnout24,reagan80,carter80,reagan84,mondale84,bush88,dukakis88,clinton92,bush92,clinton96,dole96,bush00,gore00
MS,6,6,28,MISSISSIPPI,3,6,4,Mississippi,2938618,2921030,2896713,2898209,2884596,2866711,2858013,2853061,2848293,672660,457766,554662,724597,44,55,78.2,11.8,10.5,0,15,46,58,40,0.576,0.411,0.609,0.38,0.491,0.557,0.61,0.593,0.552,0.599,-0.171,0.575,49.42,48.09,61.85,37.46,59.89,39.07,40.77,49.68,0.4408,0.4921,0.5762,0.4070
MO,11,10,29,MISSOURI,2,4,7,Missouri,5911605,5878399,5832977,5785130,5742650,5704639,5675641,5641994,5605868,1455713,1259171,1441911,1445814,44,54,62.29,8.2,6.3,11,14,34,57,40,0.568,0.414,0.585,0.401,0.582,0.653,0.676,0.622,0.622,0.66,-0.128,0.643,51.16,44.35,60.02,39.98,51.83,47.85,44.07,33.92,0.4754,0.4124,0.5042,0.4708
MT,3,3,30,MONTANA,4,8,8,Montana,967440,956624,945428,934888,925969,916754,909859,905854,903283,266063,173710,231667,242763,42,55,57.93,14.3,9,7,15,65,56,38,0.569,0.406,0.584,0.385,0.616,0.644,0.663,0.625,0.618,0.72,-0.166,0.682,56.82,32.43,60.47,38.18,52.07,46.2,37.63,35.12,0.4123,0.4411,0.5844,0.3336
NE,5,5,31,NEBRASKA,2,4,7,Nebraska,1783432,1769473,1759779,1751069,1741450,1732873,1724236,1717705,1713194,512814,254328,333319,452979,38,61,70.5,18.4,13,0,4,35,59,36,0.582,0.392,0.593,0.389,0.569,0.629,0.629,0.603,0.628,0.688,-0.175,0.68,65.53,26.04,70.55,28.81,60.15,39.2,29.4,46.58,0.3495,0.5365,0.6225,0.3325
NV,5,6,32,NEVADA,4,8,9,Nevada,2600167,2554344,2484196,2401671,2323875,2233830,2164518,2093973,2018244,418690,397190,533736,412827,52,46,63.68,2,0.5,72,67,65,46,34,0.477,0.501,0.506,0.475,0.452,0.553,0.57,0.564,0.574,0.66,0.012,0.658,62.54,26.89,65.85,31.97,58.86,37.92,37.36,34.73,0.4393,0.4291,0.4952,0.4598
NH,4,4,33,NEW HAMPSHIRE,1,1,1,New Hampshire,1315809,1312256,1308824,1300530,1292064,1281260,1270701,1256625,1240361,331237,340511,384826,316534,52,47,63.98,4.6,-3,75,50,4,47,48,0.454,0.527,0.479,0.507,0.639,0.709,0.717,0.702,0.714,0.74,0.073,0.741,57.74,28.35,68.66,30.95,62.49,36.33,38.86,37.64,0.4932,0.3937,0.4807,0.4680
NJ,15,14,34,NEW JERSEY,1,2,2,New Jersey,8682661,8653126,8640218,8634657,8620770,8589562,8547410,8490942,8430913,1670003,1911430,2215422,1613207,58,41,61.57,-6.3,-12,100,94,12,41,47,0.414,0.573,0.461,0.52,0.569,0.638,0.67,0.615,0.644,0.706,0.147,0.672,51.97,38.56,60.09,39.2,56.24,42.6,42.95,40.58,0.5372,0.3586,0.4029,0.5613
NM,5,5,35,NEW MEXICO,4,8,6,New Mexico,1984356,1964402,1937916,1912884,1889266,1867909,1848986,1828330,1820704,376930,370942,472422,346832,53,43,61.05,-5.1,-3,96,76,66,40,55,0.435,0.543,0.459,0.519,0.485,0.59,0.609,0.546,0.545,0.608,0.091,0.596,54.97,36.78,59.7,39.23,51.86,46.9,45.9,37.34,0.4918,0.4186,0.4785,0.4791
NY,31,29,36,NEW YORK,1,2,2,New York,19490297,19429316,19367028,19336376,19301113,19230877,19161573,19088220,18998429,2962567,4314280,4804701,2752728,63,36,58.54,-13.3,-17.5,99,99,13,37,59,0.377,0.609,0.433,0.559,0.551,0.58,0.59,0.531,0.568,0.606,0.174,0.604,46.66,43.99,53.84,45.83,47.52,51.62,49.72,33.88,0.5947,0.3061,0.3523,0.6021
NC,15,15,37,NORTH CAROLINA,3,5,4,North Carolina,9222414,9041594,8845343,8661061,8523199,8409660,8311263,8199913,8078824,1961166,1525849,2142651,2128474,48,51,69.46,2,-1.4,48,47,47,50,46,0.499,0.486,0.509,0.477,0.507,0.578,0.655,0.648,0.645,0.725,-0.004,0.703,49.3,47.18,61.9,37.89,57.97,41.71,42.65,43.44,0.4404,0.4873,0.5603,0.4320
ND,3,3,38,NORTH DAKOTA,2,4,8,North Dakota,641481,637904,636453,635222,636196,632689,633521,636211,641183,196651,111052,141278,168601,39,59,62.07,15.1,8,0,14,36,63,27,0.651,0.318,0.67,0.305,0.603,0.648,0.627,0.598,0.608,0.63,-0.32,0.631,64.23,26.26,64.84,33.8,56.03,42.97,32.18,44.22,0.4013,0.4694,0.6066,0.3306
OH,20,18,39,OHIO,2,3,5,Ohio,11485910,11477641,11458390,11450954,11445095,11430306,11410582,11391298,11363719,2858727,2739952,2940044,2677820,50,48,59.63,1.3,-1.3,66,56,24,52,44,0.533,0.452,0.551,0.439,0.567,0.668,0.669,0.645,0.629,0.665,-0.083,0.654,51.51,40.91,58.9,40.14,55,44.15,40.18,38.35,0.4738,0.4102,0.4997,0.4646
OK,7,7,40,OKLAHOMA,3,7,6,Oklahoma,3642361,3608123,3568132,3530087,3511960,3496157,3482946,3463387,3453861,959792,503966,502496,960165,33,67,73.7,26.5,14,0,1,53,65,29,0.654,0.323,0.662,0.319,0.499,0.583,0.558,0.492,0.523,0.552,-0.328,0.533,60.5,34.97,68.61,30.67,57.93,41.28,34.02,42.65,0.4045,0.4826,0.6031,0.3843
OR,7,7,41,OREGON,4,9,10,Oregon,3790060,3735549,3680968,3621939,3576262,3551877,3517982,3470716,3430828,866831,943163,1037291,738475,53,44,52.45,-5.3,-6,99,89,72,39,50,0.404,0.565,0.41,0.553,0.649,0.72,0.677,0.631,0.662,0.75,0.146,0.719,48.33,38.67,55.91,43.74,46.61,51.28,42.48,32.53,0.4715,0.3906,0.4652,0.4696
PA,21,20,42,PENNSYLVANIA,1,2,3,Pennsylvania,12448279,12419930,12388055,12351881,12335652,12317647,12298775,12284522,12285041,2793847,2938095,3276363,2655885,52,47,59.11,-1.3,-3.3,80,69,14,48,47,0.487,0.499,0.504,0.487,0.541,0.626,0.636,0.595,0.636,0.697,0.01,0.714,49.59,42.48,53.34,45.99,50.7,48.39,45.15,36.13,0.4917,0.3997,0.4643,0.5060
RI,4,4,44,RHODE ISLAND,1,1,1,Rhode Island,1050788,1053136,1058991,1064439,1071095,1071302,1065937,1058065,1050725,169046,259760,296571,165391,63,35,53,-13,-11,100,94,5,39,54,0.386,0.594,0.418,0.555,0.542,0.585,0.618,0.58,0.591,0.626,0.176,0.633,37.2,47.67,51.66,48.02,43.93,55.64,47.04,29.02,0.5971,0.2682,0.3191,0.6099
SC,8,9,45,SOUTH CAROLINA,3,5,4,South Carolina,4479800,4404914,4324799,4249385,4196799,4143420,4102211,4061844,4023396,937974,661699,862449,1034896,44,55,70.58,8.3,7,2,13,48,55,41,0.551,0.434,0.582,0.404,0.47,0.53,0.58,0.563,0.567,0.654,-0.12,0.621,49.57,48.04,63.55,35.57,61.5,37.58,39.88,48.02,0.4396,0.4979,0.5684,0.4090
SD,3,3,46,SOUTH DAKOTA,2,4,8,South Dakota,804194,795689,787380,779315,773539,766440,761709,758705,755657,232584,149244,170924,203054,40,58,54.15,14.2,15,0,6,37,62,32,0.618,0.356,0.634,0.342,0.577,0.682,0.647,0.593,0.586,0.656,-0.27,0.64,60.53,31.69,63,36.53,52.85,46.51,37.14,40.66,0.4303,0.4649,0.6030,0.3756
TN,11,11,47,TENNESSEE,3,6,4,Tennessee,6214888,6149116,6068306,5983211,5906936,5849563,5799093,5753497,5703094,1384375,1036477,1087437,1479178,39,59,67.7,15,12,0,4,54,61,35,0.607,0.375,0.642,0.345,0.499,0.563,0.57,0.519,0.511,0.595,-0.24,0.576,48.7,48.41,57.84,41.57,57.89,41.55,47.08,42.43,0.4800,0.4559,0.5115,0.4728
TX,34,38,48,TEXAS,3,7,6,Texas,24326974,23843432,23367534,22811128,22424884,22062119,21713397,21333928,20946049,4526917,2832704,3528633,4479328,41,57,66.2,12.3,7,1,15,49,52,43,0.521,0.465,0.561,0.425,0.492,0.537,0.541,0.496,0.514,0.606,-0.059,0.566,55.28,41.42,63.61,36.11,55.95,43.35,37.08,40.56,0.4383,0.4876,0.5930,0.3798
UT,5,6,49,UTAH,4,8,8,Utah,2736424,2668925,2585155,2501262,2439852,2380462,2334462,2291066,2244210,663742,241199,327670,596030,25,73,67.64,12.1,6,4,9,67,46,27,0.581,0.377,0.594,0.378,0.538,0.589,0.56,0.555,0.568,0.68,-0.218,0.642,72.77,20.57,74.5,24.68,66.22,32.05,24.65,43.36,0.3330,0.5437,0.6683,0.2634
VT,3,3,50,VERMONT,1,1,1,Vermont,621270,620748,620196,619282,618432,616702,614994,612134,609876,121180,184067,219262,98974,67,31,62.66,-17.3,-19.5,100,99,6,30,57,0.307,0.661,0.323,0.638,0.641,0.663,0.673,0.607,0.637,0.716,0.348,0.709,44.37,38.41,57.92,40.81,51.1,47.58,46.11,30.42,0.5335,0.3109,0.4070,0.5063
VA,13,13,51,VIRGINIA,3,5,3,Virginia,7769089,7698775,7628347,7546725,7454688,7363300,7276785,7188251,7104354,1716959,1454742,1959532,1725005,51,48,67.84,-0.9,-4,89,75,40,44,50,0.44,0.541,0.461,0.518,0.54,0.606,0.67,0.661,0.661,0.718,0.081,0.712,53.03,40.31,62.29,37.09,59.74,39.23,40.59,44.97,0.4515,0.4710,0.5247,0.4444
WA,11,12,53,WASHINGTON,4,9,10,Washington,6549224,6449511,6360529,6254579,6179645,6110202,6055613,5987181,5911104,1304894,1510201,1750848,1229216,55,43,56.92,-6.2,-14,99,94,73,37,53,0.388,0.58,0.39,0.572,0.607,0.669,0.666,0.648,0.647,0.756,0.186,0.702,49.66,37.32,55.82,42.86,48.46,50.05,43.4,31.96,0.4984,0.3730,0.4458,0.5016
WV,5,5,54,WEST VIRGINIA,3,5,3,West Virginia,1814468,1809836,1806760,1804020,1803312,1802287,1799392,1798540,1806977,423778,326541,303857,397466,35,62,63.61,27.7,27.5,0,1,56,69,26,0.686,0.297,0.7,0.281,0.466,0.541,0.499,0.463,0.502,0.567,-0.39,0.555,45.3,49.81,55.11,44.6,47.46,52.2,48.41,35.39,0.5151,0.3676,0.5192,0.4559
WI,10,10,55,WISCONSIN,2,3,5,Wisconsin,5627967,5598893,5568505,5538806,5508789,5474360,5444638,5408061,5374133,1478120,1489504,1677211,1262393,53,46,53.4,-2.2,-5.2,89,79,25,47,46,0.488,0.495,0.496,0.487,0.676,0.748,0.724,0.729,0.695,0.75,0.021,0.766,47.9,43.18,54.19,45.02,47.8,51.41,41.13,36.78,0.4881,0.3848,0.4761,0.4783
WY,3,3,56,WYOMING,4,8,8,Wyoming,532668,523252,512573,506007,502816,499056,496969,492924,493963,167629,70776,82868,164958,28,69,69.01,28.5,34,0,2,68,67,22,0.699,0.266,0.716,0.258,0.592,0.657,0.628,0.586,0.595,0.649,-0.44,0.613,62.64,27.97,70.51,28.24,60.53,38.01,33.98,39.56,0.3684,0.4981,0.6776,0.2770
